epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,67.1938,1.00051,2.16746,2.24427,1.13193,0,1,0.13079,0.5798,0.35779,1,0.13079,0.63472,0.37266,1.06377,1.64336,2.64529,1.11525,0,0.00048,0.00048,0.00048
2,133.209,0.9415,1.43935,1.63508,1.06649,0,0.73419,0.45349,0.57053,0.39649,0.81939,0.42207,0.55568,0.34013,1.13785,2.06151,2.29139,1.19123,0,0.000967873,0.000967873,0.000967873
3,199.482,0.94522,1.34971,1.56727,1.07962,0,0.61859,0.43378,0.49637,0.32131,0.66383,0.43632,0.50843,0.30468,1.20063,2.65186,2.69566,1.27118,0,0.00144337,0.00144337,0.00144337
4,266.534,0.99466,1.45354,1.42115,1.08622,0,0.82895,0.50721,0.57688,0.41609,0.78981,0.48067,0.55431,0.36988,1.11068,2.01177,2.11419,1.19869,0,0.00190649,0.00190649,0.00190649
5,333.244,0.95025,1.27052,1.46066,1.08995,0,0.6635,0.55814,0.60904,0.43231,0.8049,0.43023,0.58989,0.4191,1.07204,1.47679,2.0412,1.21884,0,0.001901,0.001901,0.001901
6,400.955,0.95647,1.32399,1.33199,1.0699,0,0.76449,0.60394,0.63284,0.39897,0.76449,0.60394,0.63355,0.43107,1.11702,1.433,1.90972,1.25755,0,0.00187625,0.00187625,0.00187625
7,467.471,0.90944,1.2592,1.34492,1.05744,0,0.87183,0.63953,0.68457,0.47411,0.85597,0.62791,0.65402,0.44096,1.00406,1.44837,1.56224,1.19033,0,0.0018515,0.0018515,0.0018515
8,533.681,0.89221,1.29784,1.34121,1.04281,0,0.67519,0.72516,0.69439,0.44723,0.64252,0.75581,0.69377,0.40592,1.11193,1.63095,1.41198,1.28254,0,0.00182675,0.00182675,0.00182675
9,600.284,0.86328,1.16621,1.2208,1.02456,0,0.80433,0.63953,0.71598,0.52875,0.80817,0.63953,0.71902,0.50447,0.95377,1.21346,1.47826,1.13037,0,0.001802,0.001802,0.001802
10,666.926,0.85793,1.21869,1.22824,1.01558,0,0.84343,0.68906,0.80888,0.54632,0.84585,0.68605,0.81364,0.55651,0.99862,1.28255,1.23124,1.18881,0,0.00177725,0.00177725,0.00177725
